ID,Woningkenmerken,RegioS,Perioden,GemiddeldAardgasverbruik_1,GemiddeldeElektriciteitslevering_2,GemiddeldeNettoElektriciteitslevering_3,Stadsverwarming_4
0,Totaal woningen,Nederland,2010,1850.0,3300.0,,4.6
1,Totaal woningen,Nederland,2011,1450.0,3250.0,,4.5
2,Totaal woningen,Nederland,2012,1500.0,3200.0,,5.1
3,Totaal woningen,Nederland,2013,1600.0,3150.0,,4.9
4,Totaal woningen,Nederland,2014,1200.0,3050.0,,4.8
5,Totaal woningen,Nederland,2015,1250.0,2980.0,,5.5
6,Totaal woningen,Nederland,2016,1300.0,2910.0,,5.5
7,Totaal woningen,Nederland,2017,1240.0,2860.0,,5.6
8,Totaal woningen,Nederland,2018,1270.0,2790.0,,
9,Totaal woningen,Nederland,2019,1180.0,2730.0,,5.9
10,Totaal woningen,Nederland,2020,1120.0,2760.0,,6.3
11,Totaal woningen,Nederland,2021,1250.0,2810.0,2480.0,6.3
12,Totaal woningen,Nederland,2022,930.0,2580.0,2120.0,6.5
13,Totaal woningen,Nederland,2023,820.0,2500.0,1900.0,6.9
14,Totaal woningen,Nederland,2024,800.0,2550.0,1870.0,7.0
15,Totaal woningen,Noord-Nederland (LD),2010,2200.0,3200.0,,
16,Totaal woningen,Noord-Nederland (LD),2011,1700.0,3200.0,,
17,Totaal woningen,Noord-Nederland (LD),2012,1850.0,3100.0,,0.3
18,Totaal woningen,Noord-Nederland (LD),2013,1950.0,3050.0,,0.3
19,Totaal woningen,Noord-Nederland (LD),2014,1450.0,2900.0,,0.3
20,Totaal woningen,Noord-Nederland (LD),2015,1510.0,2850.0,,0.5
21,Totaal woningen,Noord-Nederland (LD),2016,1580.0,2770.0,,0.5
22,Totaal woningen,Noord-Nederland (LD),2017,1490.0,2700.0,,0.5
23,Totaal woningen,Noord-Nederland (LD),2018,1530.0,2640.0,,
24,Totaal woningen,Noord-Nederland (LD),2019,1390.0,2590.0,,0.6
25,Totaal woningen,Noord-Nederland (LD),2020,1340.0,2650.0,,
26,Totaal woningen,Noord-Nederland (LD),2021,1490.0,2700.0,2250.0,
27,Totaal woningen,Noord-Nederland (LD),2022,1090.0,2510.0,1880.0,
28,Totaal woningen,Noord-Nederland (LD),2023,960.0,2450.0,1650.0,1.1
29,Totaal woningen,Noord-Nederland (LD),2024,920.0,2540.0,1610.0,1.1
30,Totaal woningen,Oost-Nederland (LD),2010,1950.0,3500.0,,5.0
31,Totaal woningen,Oost-Nederland (LD),2011,1550.0,3450.0,,5.0
32,Totaal woningen,Oost-Nederland (LD),2012,1600.0,3400.0,,5.8
33,Totaal woningen,Oost-Nederland (LD),2013,1700.0,3350.0,,5.5
34,Totaal woningen,Oost-Nederland (LD),2014,1250.0,3200.0,,5.5
35,Totaal woningen,Oost-Nederland (LD),2015,1320.0,3140.0,,6.1
36,Totaal woningen,Oost-Nederland (LD),2016,1370.0,3050.0,,6.1
37,Totaal woningen,Oost-Nederland (LD),2017,1320.0,2980.0,,6.1
38,Totaal woningen,Oost-Nederland (LD),2018,1340.0,2890.0,,
39,Totaal woningen,Oost-Nederland (LD),2019,1230.0,2860.0,,6.7
40,Totaal woningen,Oost-Nederland (LD),2020,1170.0,2910.0,,6.9
41,Totaal woningen,Oost-Nederland (LD),2021,1320.0,2950.0,2560.0,6.8
42,Totaal woningen,Oost-Nederland (LD),2022,970.0,2730.0,2170.0,6.7
43,Totaal woningen,Oost-Nederland (LD),2023,850.0,2660.0,1920.0,7.0
44,Totaal woningen,Oost-Nederland (LD),2024,830.0,2720.0,1880.0,7.2
45,Totaal woningen,West-Nederland (LD),2010,1650.0,3100.0,,6.0
46,Totaal woningen,West-Nederland (LD),2011,1300.0,3050.0,,6.0
47,Totaal woningen,West-Nederland (LD),2012,1350.0,3000.0,,6.5
48,Totaal woningen,West-Nederland (LD),2013,1450.0,2950.0,,6.2
49,Totaal woningen,West-Nederland (LD),2014,1050.0,2850.0,,6.0
50,Totaal woningen,West-Nederland (LD),2015,1130.0,2810.0,,6.9
51,Totaal woningen,West-Nederland (LD),2016,1170.0,2760.0,,7.0
52,Totaal woningen,West-Nederland (LD),2017,1110.0,2710.0,,7.1
53,Totaal woningen,West-Nederland (LD),2018,1140.0,2650.0,,
